sep=;
Long;Lat
13.0309107;47.7893933
Timestamp;Temperature;Humidity
1485328500;-7.3;85
1485330300;-7.4;84
1485332100;-7.1;84
1485333900;-6.6;82
1485335700;-5.6;79
1485337500;-4.6;75
1485339300;-4.2;73
1485341100;-4.4;72
1485342900;-4.4;73
1485344700;-4.2;73
1485346500;-3.9;73
1485348300;-3.6;73
1485350100;-3;73
1485351900;-2.7;73
1485353700;-2.8;76
1485355500;-2.8;77
1485357300;-3.2;78
1485359100;-3.4;79
1485360900;-3.6;80
1485362700;-3.6;81
1485364500;-3.7;81
1485366300;-4;80
1485368100;-4.4;80
1485369900;-4.6;80
1485371700;-4.8;81
1485373500;-4.9;81
1485375300;-5.2;81
1485377100;-5.5;82
1485378900;-5.6;83
1485380700;-5.8;83
1485382500;-6.1;84
1485384300;-6.4;85
1485386100;-6.6;85
1485387900;-7;84
1485389700;-7.4;85
1485391500;-7.9;85
1485393300;-8.3;86
1485395100;-8.5;86
1485396900;-9;87
1485398700;-9;87
1485400500;-9.2;87
1485402300;-9.5;87
1485404100;-9.8;88
1485405900;-10;88
1485407700;-10.1;88
1485409500;-10.3;88
1485411300;-10.5;89
1485413100;-10.5;89
1485414900;-10.4;89
1485416700;-10.1;89
1485418500;-9.3;89
1485420300;-8.2;87
1485422100;-6.2;85
1485423900;-4.3;77
1485425700;-3.4;72
1485427500;-3.3;72
1485429300;-2.8;72
1485431100;-2.4;70
1485432900;-2.1;70
1485434700;-1.7;69
1485436500;-1;68
1485438300;-0.5;68
1485440100;2;62
1485441900;2.2;58
1485443700;0.3;63
1485445500;-0.9;67
1485447300;-2;70
1485449100;-2.9;74
1485450900;-3.9;77
1485452700;-4.5;79
1485454500;-5.1;80
1485456300;-5.7;82
1485458100;-6.4;82
1485459900;-6.9;83
1485461700;-7.4;84
1485463500;-7.8;84
1485465300;-8.2;85
1485467100;-8.6;85
1485468900;-8.8;85
1485470700;-9.1;85
1485472500;-9.3;85
1485474300;-9.7;84
1485476100;-10;85
1485477900;-10.2;85
1485479700;-10.5;84
1485481500;-10.8;84
1485483300;-11;85
1485485100;-11.1;85
1485486900;-11.3;85
1485488700;-11.4;85
1485490500;-11.3;86
1485492300;-11.4;85
1485494100;-11.7;85
1485495900;-11.8;85
